"Timestamp","Rate the stress level for Audio 1","Rate the stress level for Audio 2","Rate the stress level for Audio 3","Rate the stress level for Audio 4","Rate the stress level for Audio 5","Rate the stress level for Audio 6","Rate the stress level for Audio 7","Rate the stress level for Audio 8","Rate the stress level for Audio 9","Rate the stress level for Audio 10","Rate the stress level for Audio 11","Rate the stress level for Audio 12"
"2025/01/21 11:05:34 PM GMT+9","4","7","5","2","3","7","3","2","6","2","4","6"
"2025/01/21 11:14:10 PM GMT+9","5","6","3","1","2","6","2","2","6","3","5","7"
"2025/01/21 11:42:14 PM GMT+9","5","6","7","2","2","7","1","2","6","3","5","6"
"2025/01/21 11:45:01 PM GMT+9","5","6","7","2","2","7","3","3","6","3","4","7"
"2025/01/22 12:21:05 AM GMT+9","7","7","6","7","6","7","6","7","5","6","5","6"
"2025/01/22 12:22:22 AM GMT+9","6","7","5","7","6","7","6","7","5","6","6","7"
"2025/01/22 12:23:12 AM GMT+9","7","6","7","7","6","6","6","6","6","5","6","6"
"2025/01/22 12:24:13 AM GMT+9","7","6","7","7","7","7","6","6","5","6","6","7"
"2025/01/22 12:25:33 AM GMT+9","6","7","7","7","7","6","7","6","7","6","7","7"
"2025/01/22 12:29:43 AM GMT+9","5","7","7","3","2","6","3","3","7","3","5","7"
"2025/01/22 2:05:35 AM GMT+9","5","6","7","3","3","7","1","3","6","3","4","6"
"2025/01/22 2:33:57 AM GMT+9","4","2","4","3","4","4","4","5","4","6","3","4"
"2025/01/22 8:36:13 PM GMT+9","2","7","6","1","6","7","5","6","6","1","4","2"
"2025/01/23 4:08:40 PM GMT+9","1","5","1","3","6","5","5","4","4","3","3","2"
"2025/01/27 11:43:28 PM GMT+9","5","7","7","3","1","7","2","3","6","2","4","6"
"2025/01/29 5:15:42 PM GMT+9","5","7","6","2","2","6","2","1","7","1","5","7"
"2025/01/29 5:19:18 PM GMT+9","6","6","5","7","5","6","7","6","5","4","5","6"
"2025/01/29 5:19:22 PM GMT+9","5","6","7","4","5","6","5","6","7","5","7","7"
"2025/01/29 5:21:17 PM GMT+9","6","6","6","7","6","7","6","6","6","6","5","6"
"2025/01/29 5:22:00 PM GMT+9","4","6","7","4","5","3","6","6","5","4","6","5"
"2025/01/29 5:39:06 PM GMT+9","6","5","7","5","6","5","6","6","5","5","6","5"
"2025/01/29 5:44:50 PM GMT+9","6","7","6","5","7","6","6","7","7","7","5","6"
"2025/01/29 5:45:54 PM GMT+9","5","6","7","2","3","7","3","2","5","2","5","6"
"2025/01/29 5:48:36 PM GMT+9","5","6","7","6","5","6","7","7","5","6","5","5"
"2025/01/30 10:42:32 AM GMT+9","4","6","6","2","2","6","2","3","6","2","5","7"
"2025/02/01 3:53:41 PM GMT+9","6","7","7","6","5","7","7","5","7","6","6","7"
"2025/02/01 4:02:15 PM GMT+9","5","6","5","4","3","7","4","2","7","1","6","7"
"2025/02/01 4:06:37 PM GMT+9","5","6","5","2","3","1","4","6","7","5","6","6"
"2025/02/01 4:11:25 PM GMT+9","7","6","5","4","3","2","1","3","4","5","2","5"
"2025/02/01 4:11:49 PM GMT+9","5","5","6","4","","5","5","6","5","6","5","4"
"2025/02/01 4:49:43 PM GMT+9","6","7","5","6","7","5","6","5","6","7","5","7"
"2025/02/01 6:58:30 PM GMT+9","4","6","6","1","1","6","1","1","6","1","4","6"
"2025/02/01 6:59:39 PM GMT+9","5","6","6","2","1","6","1","2","6","1","4","6"
"2025/02/01 7:00:23 PM GMT+9","5","6","6","2","2","6","1","1","6","2","5","6"
"2025/02/01 7:01:10 PM GMT+9","5","6","6","1","2","6","1","2","6","1","4","6"
"2025/02/01 7:02:09 PM GMT+9","4","6","6","2","2","6","2","2","6","1","5","6"
"2025/02/01 7:03:02 PM GMT+9","4","6","6","1","1","6","1","1","6","1","4","6"
"2025/02/01 7:04:32 PM GMT+9","4","6","6","3","2","6","1","2","6","2","6","7"
"2025/02/01 7:07:22 PM GMT+9","4","6","6","1","1","6","1","1","6","1","5","7"
"2025/02/01 7:07:59 PM GMT+9","5","7","6","1","1","6","2","1","6","1","4","6"